Id,Category,Date,Day_Num,Day,Time_Num,Time,District,Latitude,Longitude
281,Home,2015/6/28,7,Sun,6,16~18,Neihu,25.0703309,121.614433
282,Home,2015/6/28,7,Sun,6,16~18,Nangang,25.0538738,121.5879814
283,Home,2015/6/28,7,Sun,8,22~24,Zhongshan,25.0616336,121.52223
284,Home,2015/6/28,7,Sun,8,22~24,Zhongshan,25.0586777,121.5257019
285,Home,2015/6/30,2,Tue,8,22~24,Beitou,25.1395917,121.5097658
286,Home,2015/7/1,3,Wed,3,07~09,Zhongzheng,25.0214081,121.5269647
287,Home,2015/7/1,3,Wed,6,16~18,Zhongshan,25.0605292,121.5257605
288,Home,2015/7/1,3,Wed,8,22~24,Zhongshan,25.0648078,121.5264024
289,Home,2015/7/2,4,Thu,7,19~21,Shilin,25.1469696,121.552308
290,Home,2015/7/3,5,Fri,1,01~03,Zhongshan,25.0676789,121.542224
291,Home,2015/7/3,5,Fri,5,13~15,Neihu,25.0756013,121.6224224
292,Home,2015/7/4,6,Sat,2,04~06,Xinyi,25.0330992,121.5818636
293,Home,2015/7/7,2,Tue,1,01~03,Wanhua,25.0338059,121.499084
294,Home,2015/7/7,2,Tue,3,07~09,Wenshan,24.9826284,121.5542226
295,Home,2015/7/7,2,Tue,7,19~21,Wanhua,25.031068,121.5023831
296,Home,2015/7/8,3,Wed,4,10~12,Wenshan,25.0023165,121.5686709
297,Home,2015/7/9,4,Thu,1,01~03,Zhongshan,25.0659966,121.5280981
298,Home,2015/7/10,5,Fri,1,01~03,Zhongshan,25.0675709,121.541982
299,Home,2015/7/12,7,Sun,6,16~18,Wanhua,25.0271562,121.5054879
300,Home,2015/7/13,1,Mon,8,22~24,Zhongshan,25.065313,121.5245371
301,Home,2015/7/13,1,Mon,8,22~24,Zhongzheng,25.0388056,121.5245287
302,Home,2015/7/14,2,Tue,3,07~09,Wanhua,25.03899,121.4981794
303,Home,2015/7/14,2,Tue,8,22~24,Zhongshan,25.0616374,121.5317076
304,Home,2015/7/15,3,Wed,4,10~12,Wanhua,25.0295759,121.4934618
305,Home,2015/7/15,3,Wed,5,13~15,Xinyi,25.0368328,121.5602068
306,Home,2015/7/15,3,Wed,7,19~21,Zhongshan,25.0522884,121.5321795
307,Home,2015/7/16,4,Thu,3,07~09,Daan,25.0356393,121.5567944
308,Home,2015/7/17,5,Fri,1,01~03,Zhongshan,25.0580477,121.5264375
309,Home,2015/7/18,6,Sat,1,01~03,Beitou,25.1328105,121.4749735
310,Home,2015/7/18,6,Sat,5,13~15,Songshan,25.0587242,121.5553698
311,Home,2015/7/18,6,Sat,6,16~18,Wanhua,25.0379385,121.4998008
312,Home,2015/7/18,6,Sat,7,19~21,Beitou,25.1391495,121.5124724
313,Home,2015/7/20,1,Mon,6,16~18,Beitou,25.1224748,121.5002494
314,Home,2015/7/20,1,Mon,7,19~21,Shilin,25.0847371,121.5186058
315,Home,2015/7/20,1,Mon,8,22~24,Wanhua,25.041994,121.501599
316,Home,2015/7/21,2,Tue,4,10~12,Songshan,25.0523524,121.5650483
317,Home,2015/7/21,2,Tue,8,22~24,Xinyi,25.0326708,121.5695364
318,Home,2015/7/22,3,Wed,5,13~15,Datong,25.0741249,121.5149807
319,Home,2015/7/22,3,Wed,6,16~18,Wanhua,25.025723,121.507797
320,Home,2015/7/23,4,Thu,3,07~09,Songshan,25.0520049,121.5579155
321,Home,2015/7/24,5,Fri,5,13~15,Neihu,25.0841754,121.5989296
322,Home,2015/7/25,6,Sat,4,10~12,Songshan,25.0504165,121.5606544
323,Home,2015/7/25,6,Sat,5,13~15,Xinyi,25.031744,121.558571
324,Home,2015/7/27,1,Mon,3,07~09,Songshan,25.0523244,121.5528592
325,Home,2015/7/27,1,Mon,3,07~09,Songshan,25.0496729,121.5691247
326,Home,2015/7/27,1,Mon,7,19~21,Shilin,25.1379218,121.5426489
327,Home,2015/7/29,3,Wed,4,10~12,Songshan,25.0635141,121.5664762
328,Home,2015/7/30,4,Thu,5,13~15,Datong,25.053275,121.513251
329,Home,2015/7/30,4,Thu,6,16~18,Wanhua,25.0335717,121.4936655
330,Home,2015/7/31,5,Fri,1,01~03,Songshan,25.0523524,121.5650483
331,Home,2015/7/31,5,Fri,2,04~06,Songshan,25.0560495,121.5672685
332,Home,2015/7/31,5,Fri,3,07~09,Zhongzheng,25.0322972,121.5051266
333,Home,2015/7/31,5,Fri,4,10~12,Songshan,25.0518185,121.5573674
334,Home,2015/7/31,5,Fri,5,13~15,Songshan,25.0523524,121.5650483
335,Home,2015/7/31,5,Fri,7,19~21,Nangang,25.0368857,121.6140477
