Id,Category,Date,Day_Num,Day,Time_Num,District,Latitude,Longitude
267,Home,2015/6/19,5,Fri,3,Zhongshan,25.0473265,121.5279672
268,Home,2015/6/19,5,Fri,3,Wenshan,25.0013529,121.538933
269,Home,2015/6/19,5,Fri,7,Zhongzheng,25.0251372,121.5235957
270,Home,2015/6/20,6,Sat,2,Songshan,25.051059,121.556633
271,Home,2015/6/20,6,Sat,4,Xinyi,25.0225691,121.5561693
272,Home,2015/6/21,7,Sun,4,Shilin,25.112326,121.563586
273,Home,2015/6/22,1,Mon,3,Beitou,25.1140592,121.4954817
274,Home,2015/6/22,1,Mon,5,Shilin,25.096635,121.547422
275,Home,2015/6/22,1,Mon,5,Shilin,25.096635,121.547422
276,Home,2015/6/23,2,Tue,8,Daan,25.0441692,121.5460752
277,Home,2015/6/24,3,Wed,2,Zhongshan,25.0628897,121.5281771
278,Home,2015/6/24,3,Wed,7,Zhongzheng,25.0457944,121.5131252
279,Home,2015/6/25,4,Thu,8,Zhongshan,25.08093,121.5515496
280,Home,2015/6/28,7,Sun,1,Shilin,25.1379218,121.5426489
281,Home,2015/6/28,7,Sun,6,Neihu,25.0703309,121.614433
282,Home,2015/6/28,7,Sun,6,Nangang,25.0538738,121.5879814
283,Home,2015/6/28,7,Sun,8,Zhongshan,25.0616336,121.52223
284,Home,2015/6/28,7,Sun,8,Zhongshan,25.0586777,121.5257019
285,Home,2015/6/30,2,Tue,8,Beitou,25.1395917,121.5097658
286,Home,2015/7/1,3,Wed,3,Zhongzheng,25.0214081,121.5269647
287,Home,2015/7/1,3,Wed,6,Zhongshan,25.0605292,121.5257605
288,Home,2015/7/1,3,Wed,8,Zhongshan,25.0648078,121.5264024
289,Home,2015/7/2,4,Thu,7,Shilin,25.1469696,121.552308
290,Home,2015/7/3,5,Fri,1,Zhongshan,25.0676789,121.542224
291,Home,2015/7/3,5,Fri,5,Neihu,25.0756013,121.6224224
292,Home,2015/7/4,6,Sat,2,Xinyi,25.0330992,121.5818636
293,Home,2015/7/7,2,Tue,1,Wanhua,25.0338059,121.499084
294,Home,2015/7/7,2,Tue,3,Wenshan,24.9826284,121.5542226
295,Home,2015/7/7,2,Tue,7,Wanhua,25.031068,121.5023831
296,Home,2015/7/8,3,Wed,4,Wenshan,25.0023165,121.5686709
297,Home,2015/7/9,4,Thu,1,Zhongshan,25.0659966,121.5280981
298,Home,2015/7/10,5,Fri,1,Zhongshan,25.0675709,121.541982
299,Home,2015/7/12,7,Sun,6,Wanhua,25.0271562,121.5054879
300,Home,2015/7/13,1,Mon,8,Zhongshan,25.065313,121.5245371
